Neighborhood,Price,Bedrooms,Bathrooms,House Size,Description
"Westwood","$500,000","3","2","2000 sqft","Beautiful single-family home with spacious backyard"
"Beverly Hills","$1,200,000","4","3","3000 sqft","Luxurious mansion with pool and stunning views"
"Silver Lake","$700,000","2","1","1500 sqft","Charming bungalow with modern upgrades and private patio"
"Venice Beach","$900,000","3","2","1800 sqft","Beachfront property with rooftop deck and open floor plan"
"Hollywood Hills","$1,000,000","3","3","2500 sqft","Contemporary home with panoramic city views and gourmet kitchen"
"Echo Park","$600,000","2","1","1200 sqft","Cozy cottage with original details and landscaped garden"
"Santa Monica","$800,000","2","2","1600 sqft","Bright and airy townhouse with attached garage and balcony"
"Culver City","$750,000","3","2","1700 sqft","Remodeled ranch-style home with spacious backyard and mountain views"
"Marina del Rey","$950,000","2","2","1900 sqft","Waterfront condo with marina views and resort-style amenities"
"Malibu","$1,500,000","4","4","3500 sqft","Secluded estate with private beach access and lush gardens"
